File Path,Recipient TransferEvents,Blocker TransferEevents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-08-20-07-19-53/step-00700.pickle,344,1813,6945,5336,452,29409,5629
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-08-20-07-33-25/step-00700.pickle,247,1407,3317,1959,320,39919,2508
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-08-20-07-46-52/step-00700.pickle,86,928,2379,1376,99,42074,1851
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-08-19-14-20-15/step-00700.pickle,4386,1939,18382,8578,8576,8288,4385
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-08-20-08-00-16/step-00700.pickle,42,480,1634,2422,47,43006,989
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-08-20-08-13-42/step-00700.pickle,7245,0,26400,7950,13878,0,0
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-08-20-08-28-15/step-00700.pickle,7270,411,23431,9391,14193,204,597
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-08-20-08-42-40/step-00700.pickle,6672,834,22736,6924,14752,2283,1228
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-08-20-08-57-02/step-00700.pickle,4826,1360,23651,7017,8227,5898,3093
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-08-20-09-11-20/step-00700.pickle,4784,1833,17313,8579,8538,9283,4298
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-08-20-09-25-28/step-00700.pickle,4826,1963,16724,9946,9398,8654,3686
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-08-20-09-39-30/step-00700.pickle,3970,1988,15074,11529,6470,8637,5874
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-08-20-09-53-37/step-00700.pickle,3872,2531,13282,5928,8319,15434,5261
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-08-20-10-07-41/step-00700.pickle,3327,2355,12797,13632,4857,10881,5495
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-08-19-14-34-38/step-00700.pickle,3833,2372,11908,12764,6267,10881,6158
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-08-20-10-21-40/step-00700.pickle,2780,2647,14658,7843,7271,13013,5188
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-08-20-10-35-34/step-00700.pickle,2246,2628,13056,6980,4499,18681,4914
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-08-20-10-49-24/step-00700.pickle,2123,2654,12222,6583,4007,17240,8368
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-08-20-11-03-08/step-00700.pickle,1516,2514,10858,5000,2598,24673,5221
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-08-20-11-16-47/step-00700.pickle,1106,2289,9596,2609,2062,27181,6677
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-08-20-11-30-23/step-00700.pickle,799,2293,6123,7831,1121,28459,4164
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-08-20-11-44-02/step-00700.pickle,678,2092,6389,2540,1566,34068,3227
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-08-20-11-57-38/step-00700.pickle,659,1598,5420,9384,834,29882,2594
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-08-20-12-11-04/step-00700.pickle,162,1148,1587,971,183,40920,4239
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-08-20-12-24-30/step-00700.pickle,70,870,1262,2369,74,41551,2719
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-08-19-14-48-51/step-00700.pickle,2756,2698,14069,6586,3804,17429,5944
