File Path,Number of Transfer Events,Number of Donors,Number of Reciepients,Number of Transconjugants,Number of Blockers
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-07-03-23-43-52/step-00700.pickle,833,13267,6492,14389,13727
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-07-03-23-57-30/step-00700.pickle,801,21470,5680,7247,13355
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-07-04-00-36-34/step-00700.pickle,692,13436,6954,11815,16127
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-07-01-17-13-05/step-00700.pickle,959,21636,4159,9560,12405
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-07-04-02-04-32/step-00700.pickle,549,13402,7180,5088,22224
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-07-04-02-51-31/step-00700.pickle,515,11360,4956,8274,23172
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-07-04-03-47-26/step-00700.pickle,433,8805,5279,6106,27618
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-07-04-05-08-48/step-00700.pickle,324,9517,8544,2559,27374
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-07-04-06-50-54/step-00700.pickle,313,8044,6549,2725,30919
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-07-04-08-11-21/step-00700.pickle,245,7804,5916,2968,31212
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-07-04-08-47-36/step-00700.pickle,178,9509,4652,2487,31083
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-07-04-12-43-35/step-00700.pickle,117,2771,1772,862,42479
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-07-04-13-12-11/step-00700.pickle,54,4668,5345,499,37487
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-07-04-13-48-04/step-00700.pickle,29,3173,2444,153,42263
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-07-01-17-26-46/step-00700.pickle,811,17865,7415,10809,11698
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-07-04-14-49-06/step-00700.pickle,7,309,277,16,47569
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-07-04-15-31-50/step-00700.pickle,1303,26101,3814,18263,0
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-07-04-16-02-40/step-00700.pickle,1292,22193,7141,15779,2565
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-07-04-16-23-52/step-00700.pickle,1113,22967,4787,17384,2750
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-07-04-17-41-07/step-00700.pickle,1044,16387,7883,15345,7747
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-07-04-18-58-44/step-00700.pickle,996,18571,3230,14754,11468
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-07-04-19-31-51/step-00700.pickle,928,20684,3415,12614,11292
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-07-04-21-13-53/step-00700.pickle,875,16836,5073,12072,14115
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-07-04-21-43-06/step-00700.pickle,778,19118,5509,11039,12266
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-07-04-22-15-38/step-00700.pickle,675,16481,4013,7362,20159
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-07-01-17-40-23/step-00700.pickle,747,10732,7800,6754,22933
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-07-04-23-49-55/step-00700.pickle,603,13317,4051,8340,21946
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-07-05-00-15-46/step-00700.pickle,530,11801,5748,5824,24782
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-07-05-01-01-03/step-00700.pickle,433,16663,4219,3999,22968
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-07-05-02-19-42/step-00700.pickle,363,9828,5755,6069,26381
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-07-05-03-35-15/step-00700.pickle,287,6895,5297,2690,33053
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-07-05-04-11-49/step-00700.pickle,241,5792,5328,2823,34267
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-07-05-05-13-36/step-00700.pickle,175,4958,4115,2176,36652
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-07-05-08-41-43/step-00700.pickle,112,4593,4519,515,38374
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-07-05-08-55-04/step-00700.pickle,75,5863,3484,2641,35943
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-07-05-09-08-26/step-00700.pickle,18,963,2353,200,44413
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-07-01-18-04-29/step-00700.pickle,713,11572,7826,6717,21461
