File Path,Recipient TransferEvents,Blocker TransferEevents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-08-21-12-19-24/step-00700.pickle,105,39,18400,18767,319,10451,200
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-08-21-12-33-04/step-00700.pickle,85,49,16572,20362,381,10337,131
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-08-21-12-46-51/step-00700.pickle,60,47,19466,17821,148,10400,110
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-08-21-13-00-38/step-00700.pickle,76,72,19648,15662,304,12029,587
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-08-21-13-14-22/step-00700.pickle,46,66,13846,18824,111,14917,731
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-08-21-13-27-55/step-00700.pickle,57,52,16221,15630,1000,15276,131
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-08-20-14-59-25/step-00700.pickle,77,64,17121,14847,261,15308,183
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-08-21-13-41-36/step-00700.pickle,39,65,12263,14831,1060,19565,193
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-08-21-13-55-14/step-00700.pickle,31,59,8876,15069,182,23236,217
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-08-21-14-08-50/step-00700.pickle,24,63,7098,9322,70,29781,1441
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-08-21-14-22-23/step-00700.pickle,18,84,10663,5462,68,30881,1019
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-08-21-14-35-53/step-00700.pickle,12,61,8975,7663,26,30559,466
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-08-21-14-49-28/step-00700.pickle,10,41,5209,6438,26,36108,330
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-08-21-15-02-50/step-00700.pickle,10,50,8260,6547,22,32995,409
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-08-21-15-16-18/step-00700.pickle,10,50,6425,7945,27,33671,95
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-08-21-15-29-38/step-00700.pickle,5,31,3608,2741,9,41452,154
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-08-21-15-42-57/step-00700.pickle,0,20,1045,3072,0,43662,42
C:/Users/helen/CellModeller/Examples/Data_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-08-20-15-13-11/step-00700.pickle,52,71,14772,14659,200,18126,194
