File Path,Recipient TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-08-19-01-51-48/step-00700.pickle,2165,19891,3100,16512,8140,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-08-19-02-06-10/step-00700.pickle,1621,23073,2183,15718,7264,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-08-19-02-20-27/step-00700.pickle,1823,15763,4738,12767,14550,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-08-19-02-34-30/step-00700.pickle,1651,14062,6238,15211,12396,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-08-19-02-48-35/step-00700.pickle,1295,16633,3761,13613,14271,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-08-19-03-02-34/step-00700.pickle,1345,12038,4416,12813,18606,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-08-18-00-13-04/step-00700.pickle,1476,15001,4879,14263,13702,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-08-19-03-16-32/step-00700.pickle,1060,15638,5739,6703,19739,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-08-19-03-30-32/step-00700.pickle,872,9288,5245,7930,25510,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-08-19-03-44-23/step-00700.pickle,821,10825,6360,8523,21998,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-08-19-03-58-14/step-00700.pickle,622,8958,3173,5084,30742,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-08-19-04-11-55/step-00700.pickle,454,7899,3009,2453,34292,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-08-19-04-25-35/step-00700.pickle,449,6680,5378,4972,30773,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-08-19-04-39-10/step-00700.pickle,205,7001,3700,610,36649,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-08-19-04-52-41/step-00700.pickle,131,6092,1152,1264,39645,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-08-19-05-06-09/step-00700.pickle,65,2671,6537,108,38591,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-08-19-05-19-30/step-00700.pickle,75,1221,906,643,45183,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-08-18-00-27-26/step-00700.pickle,1173,13951,3550,9996,20225,0
