File Path,Recipient TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-08-17-11-28-12/step-00700.pickle,135,4878,2941,2014,37858,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-08-17-11-42-52/step-00700.pickle,904,3022,1777,1760,41795,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-08-15-19-45-54/step-00700.pickle,1117,19018,18,20011,9375,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-08-17-11-58-23/step-00700.pickle,46,918,287,100,46773,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-08-17-12-13-40/step-00700.pickle,1191,26557,0,21584,0,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-08-17-12-29-41/step-00700.pickle,1202,22357,0,24696,1057,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-08-17-12-45-17/step-00700.pickle,1156,17429,0,24007,6500,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-08-17-13-01-15/step-00700.pickle,1160,21564,0,18465,7899,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-08-17-13-16-37/step-00700.pickle,1145,18269,7,19344,10302,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-08-17-13-32-14/step-00700.pickle,1120,19396,0,15151,13431,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-08-17-13-47-39/step-00700.pickle,1043,15148,20,18807,14148,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-08-17-14-03-39/step-00700.pickle,1099,18811,112,11873,17254,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-08-17-14-19-19/step-00700.pickle,1059,18337,57,12391,17062,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-08-15-19-59-50/step-00700.pickle,1355,12485,6,14933,20807,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-08-17-14-35-27/step-00700.pickle,1091,10184,2262,13904,21884,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-08-17-14-51-09/step-00700.pickle,1034,8351,58,11992,27619,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-08-17-15-05-48/step-00700.pickle,866,13606,2463,8664,22581,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-08-17-15-19-55/step-00700.pickle,1386,8591,299,10626,28513,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-08-17-15-33-43/step-00700.pickle,698,9027,305,5700,33239,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-08-17-15-47-23/step-00700.pickle,638,5405,724,2653,39096,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-08-17-16-01-01/step-00700.pickle,463,5145,1369,2681,38860,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-08-17-16-14-33/step-00700.pickle,716,3288,2104,4582,38102,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-08-17-16-28-12/step-00700.pickle,155,1465,1386,1346,44210,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-08-17-16-43-41/step-00700.pickle,93,3943,371,332,43369,0
C:/Users/helen/CellModeller/Examples/Data_No_Blocker_Transfer_Sec_Recipient_Transfer_No_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-08-15-20-13-36/step-00700.pickle,1103,16179,30,15356,15997,0
