File Path,Number of Transfer Events,Number of Donors,Number of Reciepients,Number of Transconjugants,Number of Blockers
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-06-22-01-06-53/step-00700.pickle,795,14230,8291,10167,15109
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-06-25-15-25-25/step-00700.pickle,627,10195,6084,8512,23098
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-06-25-15-39-03/step-00700.pickle,522,14275,4219,4986,24555
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-06-25-15-52-42/step-00700.pickle,405,12041,4304,7546,24122
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-06-25-16-06-10/step-00700.pickle,350,7564,7562,2337,30690
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-06-25-16-34-09/step-00700.pickle,290,6664,4963,6390,29997
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-06-26-20-20-06/step-00700.pickle,218,6103,3193,1311,37617
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-06-26-20-33-21/step-00700.pickle,181,6945,2440,1230,37679
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-06-26-20-46-41/step-00700.pickle,119,5242,2294,2166,38497
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-06-26-20-59-57/step-00700.pickle,70,5645,2955,2694,36514
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-06-26-21-13-15/step-00700.pickle,27,2847,796,122,44439
C:/Users/helen/CellModeller/Examples/Data_No_Blockertransfer_No_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-06-22-01-20-51/step-00700.pickle,627,14664,7857,8547,16605
