File Path,Recipient TransferEvents,Blocker TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-08-11-11-50-12/step-00700.pickle,811,744,19324,4242,10362,5614,8327
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-08-11-12-35-05/step-00700.pickle,768,832,20017,5635,8430,3407,10303
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-08-11-13-17-05/step-00700.pickle,635,921,11597,8576,8488,7046,12081
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-07-05-19-21-40/step-00700.pickle,877,580,12154,9383,15642,4584,6131
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-08-11-14-23-12/step-00700.pickle,612,1003,13548,5556,6770,8043,13907
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-08-11-15-13-11/step-00700.pickle,481,1002,9823,7867,6177,9574,14375
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-08-11-15-57-59/step-00700.pickle,454,1120,9736,6633,4662,15477,11149
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-08-11-16-45-19/step-00700.pickle,369,1086,11387,4356,8977,13347,9931
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-08-11-17-34-21/step-00700.pickle,272,1132,10316,5740,2397,17801,11962
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-08-11-18-10-20/step-00700.pickle,238,1040,10472,3425,2291,18644,12847
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-08-11-19-08-52/step-00700.pickle,194,955,5337,4417,1385,22673,14146
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-08-11-19-29-01/step-00700.pickle,120,832,5900,2377,2439,26037,11365
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-08-11-20-44-30/step-00700.pickle,70,755,6255,4096,1053,30536,5783
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-08-11-21-12-58/step-00700.pickle,21,525,1874,695,55,40012,5264
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-07-05-19-35-58/step-00700.pickle,856,698,15032,7623,14816,2724,7810
